"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 13 18:21:56 GMT 2021","Fri Aug 13 18:22:21 GMT 2021","24544","test","test_conduit","TestConduit","","","test_sequential_data_input",""
"passed","Fri Aug 13 18:19:39 GMT 2021","Fri Aug 13 18:19:40 GMT 2021","114","test","test_conduit","TestConduit","","","test_home_page_appearances",""
"passed","Fri Aug 13 18:21:31 GMT 2021","Fri Aug 13 18:21:55 GMT 2021","24519","test","test_conduit","TestConduit","","","test_sequential_data_input_from_csv",""
"passed","Fri Aug 13 18:19:41 GMT 2021","Fri Aug 13 18:19:51 GMT 2021","10001","test","test_conduit","TestConduit","","","test_registration",""
"passed","Fri Aug 13 18:21:20 GMT 2021","Fri Aug 13 18:21:29 GMT 2021","9139","test","test_conduit","TestConduit","","","test_pagination",""
"passed","Fri Aug 13 18:20:38 GMT 2021","Fri Aug 13 18:20:55 GMT 2021","17237","test","test_conduit","TestConduit","","","test_delete_article",""
"passed","Fri Aug 13 18:19:58 GMT 2021","Fri Aug 13 18:20:01 GMT 2021","3065","test","test_conduit","TestConduit","","","test_logout",""
"passed","Fri Aug 13 18:19:53 GMT 2021","Fri Aug 13 18:19:56 GMT 2021","2895","test","test_conduit","TestConduit","","","test_login",""
"passed","Fri Aug 13 18:20:01 GMT 2021","Fri Aug 13 18:20:12 GMT 2021","11028","test","test_conduit","TestConduit","","","test_create_new_article",""
"passed","Fri Aug 13 18:21:10 GMT 2021","Fri Aug 13 18:21:18 GMT 2021","8202","test","test_conduit","TestConduit","","","test_saving_data",""
"broken","Fri Aug 13 18:20:13 GMT 2021","Fri Aug 13 18:20:37 GMT 2021","24127","test","test_conduit","TestConduit","","","test_modify_article",""
"passed","Fri Aug 13 18:20:57 GMT 2021","Fri Aug 13 18:21:10 GMT 2021","13059","test","test_conduit","TestConduit","","","test_listing_data",""
